Province/State,Country/Region,Lat,Long,Date,Deaths
,Afghanistan,33.93911,67.709953,1/22/20,0
,Albania,41.1533,20.1683,1/22/20,0
,Algeria,28.0339,1.6596,1/22/20,0
,Andorra,42.5063,1.5218,1/22/20,0
,Angola,-11.2027,17.8739,1/22/20,0
,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0
,Argentina,-38.4161,-63.6167,1/22/20,0
,Armenia,40.0691,45.0382,1/22/20,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0
New South Wales,Australia,-33.8688,151.2093,1/22/20,0
Northern Territory,Australia,-12.4634,130.8456,1/22/20,0
Queensland,Australia,-27.4698,153.0251,1/22/20,0
South Australia,Australia,-34.9285,138.6007,1/22/20,0
Tasmania,Australia,-42.8821,147.3272,1/22/20,0
Victoria,Australia,-37.8136,144.9631,1/22/20,0
Western Australia,Australia,-31.9505,115.8605,1/22/20,0
,Austria,47.5162,14.5501,1/22/20,0
,Azerbaijan,40.1431,47.5769,1/22/20,0
,Bahamas,25.025885,-78.035889,1/22/20,0
,Bahrain,26.0275,50.55,1/22/20,0
,Bangladesh,23.685,90.3563,1/22/20,0
,Barbados,13.1939,-59.5432,1/22/20,0
,Belarus,53.7098,27.9534,1/22/20,0
,Belgium,50.8333,4.469936,1/22/20,0
,Belize,17.1899,-88.4976,1/22/20,0
,Benin,9.3077,2.3158,1/22/20,0
,Bhutan,27.5142,90.4336,1/22/20,0
,Bolivia,-16.2902,-63.5887,1/22/20,0
,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0
,Botswana,-22.3285,24.6849,1/22/20,0
,Brazil,-14.235,-51.9253,1/22/20,0
,Brunei,4.5353,114.7277,1/22/20,0
,Bulgaria,42.7339,25.4858,1/22/20,0
,Burkina Faso,12.2383,-1.5616,1/22/20,0
,Burma,21.9162,95.956,1/22/20,0
,Burundi,-3.3731,29.9189,1/22/20,0
,Cabo Verde,16.5388,-23.0418,1/22/20,0
,Cambodia,11.55,104.9167,1/22/20,0
,Cameroon,3.8480000000000003,11.5021,1/22/20,0
Alberta,Canada,53.9333,-116.5765,1/22/20,0
British Columbia,Canada,53.7267,-127.6476,1/22/20,0
Diamond Princess,Canada,0.0,0.0,1/22/20,0
Grand Princess,Canada,0.0,0.0,1/22/20,0
Manitoba,Canada,53.7609,-98.8139,1/22/20,0
New Brunswick,Canada,46.5653,-66.4619,1/22/20,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0
Northwest Territories,Canada,64.8255,-124.8457,1/22/20,0
Nova Scotia,Canada,44.681999999999995,-63.7443,1/22/20,0
Ontario,Canada,51.2538,-85.3232,1/22/20,0
Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0
Quebec,Canada,52.9399,-73.5491,1/22/20,0
Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0
Yukon,Canada,64.2823,-135.0,1/22/20,0
,Central African Republic,6.6111,20.9394,1/22/20,0
,Chad,15.4542,18.7322,1/22/20,0
,Chile,-35.6751,-71.543,1/22/20,0
Anhui,China,31.8257,117.2264,1/22/20,0
Beijing,China,40.1824,116.4142,1/22/20,0
Chongqing,China,30.0572,107.874,1/22/20,0
Fujian,China,26.0789,117.9874,1/22/20,0
Gansu,China,35.7518,104.2861,1/22/20,0
Guangdong,China,23.3417,113.4244,1/22/20,0
Guangxi,China,23.8298,108.7881,1/22/20,0
Guizhou,China,26.8154,106.8748,1/22/20,0
Hainan,China,19.1959,109.7453,1/22/20,0
Hebei,China,39.549,116.1306,1/22/20,0
Heilongjiang,China,47.861999999999995,127.7615,1/22/20,0
Henan,China,37.8957,114.9042,1/22/20,0
Hong Kong,China,22.3,114.2,1/22/20,0
Hubei,China,30.9756,112.2707,1/22/20,17
Hunan,China,27.6104,111.7088,1/22/20,0
Inner Mongolia,China,44.0935,113.9448,1/22/20,0
Jiangsu,China,32.9711,119.455,1/22/20,0
Jiangxi,China,27.614,115.7221,1/22/20,0
Jilin,China,43.6661,126.1923,1/22/20,0
Liaoning,China,41.2956,122.6085,1/22/20,0
Macau,China,22.1667,113.55,1/22/20,0
Ningxia,China,37.2692,106.1655,1/22/20,0
Qinghai,China,35.7452,95.9956,1/22/20,0
Shaanxi,China,35.1917,108.8701,1/22/20,0
Shandong,China,36.3427,118.1498,1/22/20,0
Shanghai,China,31.201999999999998,121.4491,1/22/20,0
Shanxi,China,37.5777,112.2922,1/22/20,0
Sichuan,China,30.6171,102.7103,1/22/20,0
Tianjin,China,39.3054,117.323,1/22/20,0
Tibet,China,31.6927,88.0924,1/22/20,0
Xinjiang,China,41.1129,85.2401,1/22/20,0
Yunnan,China,24.974,101.48700000000001,1/22/20,0
Zhejiang,China,29.1832,120.0934,1/22/20,0
,Colombia,4.5709,-74.2973,1/22/20,0
,Comoros,-11.6455,43.3333,1/22/20,0
,Congo (Brazzaville),-0.228,15.8277,1/22/20,0
,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0
,Costa Rica,9.7489,-83.7534,1/22/20,0
,Cote d'Ivoire,7.54,-5.5471,1/22/20,0
,Croatia,45.1,15.2,1/22/20,0
,Cuba,21.521757,-77.78116700000001,1/22/20,0
,Cyprus,35.1264,33.4299,1/22/20,0
,Czechia,49.8175,15.472999999999999,1/22/20,0
Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0
Greenland,Denmark,71.7069,-42.6043,1/22/20,0
,Denmark,56.2639,9.5018,1/22/20,0
,Diamond Princess,0.0,0.0,1/22/20,0
,Djibouti,11.8251,42.5903,1/22/20,0
,Dominica,15.415,-61.371,1/22/20,0
,Dominican Republic,18.7357,-70.1627,1/22/20,0
,Ecuador,-1.8312,-78.1834,1/22/20,0
,Egypt,26.820553000000004,30.802497999999996,1/22/20,0
,El Salvador,13.7942,-88.8965,1/22/20,0
,Equatorial Guinea,1.6508,10.2679,1/22/20,0
,Eritrea,15.1794,39.7823,1/22/20,0
,Estonia,58.5953,25.0136,1/22/20,0
,Eswatini,-26.5225,31.4659,1/22/20,0
,Ethiopia,9.145,40.4897,1/22/20,0
,Fiji,-17.7134,178.065,1/22/20,0
,Finland,61.92411,25.748151,1/22/20,0
French Guiana,France,3.9339,-53.1258,1/22/20,0
French Polynesia,France,-17.6797,149.4068,1/22/20,0
Guadeloupe,France,16.265,-61.551,1/22/20,0
Martinique,France,14.6415,-61.0242,1/22/20,0
Mayotte,France,-12.8275,45.166244,1/22/20,0
New Caledonia,France,-20.904304999999997,165.618042,1/22/20,0
Reunion,France,-21.1151,55.5364,1/22/20,0
Saint Barthelemy,France,17.9,-62.8333,1/22/20,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,1/22/20,0
St Martin,France,18.0708,-63.0501,1/22/20,0
,France,46.2276,2.2137,1/22/20,0
,Gabon,-0.8037,11.6094,1/22/20,0
,Gambia,13.4432,-15.3101,1/22/20,0
,Georgia,42.3154,43.3569,1/22/20,0
,Germany,51.165690999999995,10.451526,1/22/20,0
,Ghana,7.9465,-1.0232,1/22/20,0
,Greece,39.0742,21.8243,1/22/20,0
